id,name,colour,stock
3.000000,toy3,blue,4753.000000
4.000000,toy4,green,3721.000000
5.000000,toy5,blue,3697.000000
6.000000,toy6,red,4607.000000
12.000000,toy12,black,4267.000000
13.000000,toy13,black,3568.000000
14.000000,toy14,red,4366.000000
16.000000,toy16,white,3434.000000
23.000000,toy23,blue,3739.000000
25.000000,toy25,blue,4219.000000
26.000000,toy26,green,3833.000000
27.000000,toy27,green,4493.000000
28.000000,toy28,red,3725.000000
30.000000,toy30,blue,3221.000000
33.000000,toy33,blue,4581.000000
34.000000,toy34,white,4949.000000
41.000000,toy41,white,4335.000000
45.000000,toy45,red,3744.000000
49.000000,toy49,yellow,4887.000000
50.000000,toy50,blue,4310.000000
52.000000,toy52,red,4662.000000
54.000000,toy54,white,4444.000000
55.000000,toy55,white,3668.000000
56.000000,toy56,yellow,4619.000000
64.000000,toy64,blue,3227.000000
67.000000,toy67,blue,3339.000000
68.000000,toy68,orange,4963.000000
69.000000,toy69,yellow,4459.000000
70.000000,toy70,blue,4113.000000
72.000000,toy72,red,3714.000000
77.000000,toy77,red,3677.000000
78.000000,toy78,blue,4649.000000
82.000000,toy82,green,3593.000000
83.000000,toy83,blue,4352.000000
84.000000,toy84,white,3681.000000
90.000000,toy90,white,4141.000000
92.000000,toy92,blue,3805.000000
96.000000,toy96,green,4968.000000
97.000000,toy97,white,4484.000000
100.000000,toy100,yellow,4973.000000
102.000000,toy102,red,3855.000000
106.000000,toy106,blue,3412.000000
108.000000,toy108,yellow,3445.000000
113.000000,toy113,black,3011.000000
114.000000,toy114,red,4090.000000
118.000000,toy118,green,4889.000000
119.000000,toy119,blue,3901.000000
120.000000,toy120,red,3327.000000
121.000000,toy121,red,3433.000000
124.000000,toy124,green,4238.000000
125.000000,toy125,red,4724.000000
128.000000,toy128,orange,4875.000000
129.000000,toy129,red,4744.000000
130.000000,toy130,red,3511.000000
131.000000,toy131,white,4277.000000
135.000000,toy135,black,4295.000000
138.000000,toy138,green,3051.000000
140.000000,toy140,red,3240.000000
143.000000,toy143,blue,4279.000000
144.000000,toy144,black,4538.000000
146.000000,toy146,green,4614.000000
148.000000,toy148,blue,4257.000000
150.000000,toy150,red,3277.000000
153.000000,toy153,blue,3935.000000
155.000000,toy155,orange,4813.000000
164.000000,toy164,orange,3522.000000
165.000000,toy165,green,3776.000000
167.000000,toy167,blue,3912.000000
168.000000,toy168,red,3909.000000
169.000000,toy169,white,3572.000000
173.000000,toy173,green,4188.000000
175.000000,toy175,orange,4287.000000
183.000000,toy183,yellow,4819.000000
187.000000,toy187,black,3328.000000
188.000000,toy188,white,3970.000000
190.000000,toy190,blue,3944.000000
192.000000,toy192,white,3052.000000
193.000000,toy193,blue,4317.000000
196.000000,toy196,white,3920.000000
199.000000,toy199,red,3052.000000
200.000000,toy200,white,3499.000000
205.000000,toy205,orange,3745.000000
206.000000,toy206,blue,4381.000000
207.000000,toy207,black,4806.000000
210.000000,toy210,blue,4787.000000
211.000000,toy211,orange,3740.000000
214.000000,toy214,red,4331.000000
216.000000,toy216,green,3795.000000
219.000000,toy219,orange,4667.000000
220.000000,toy220,red,4951.000000
221.000000,toy221,green,3735.000000
227.000000,toy227,black,3940.000000
228.000000,toy228,orange,4409.000000
229.000000,toy229,white,3640.000000
231.000000,toy231,white,3024.000000
232.000000,toy232,yellow,3747.000000
233.000000,toy233,black,3219.000000
234.000000,toy234,white,4745.000000
237.000000,toy237,black,4929.000000
239.000000,toy239,white,3780.000000
242.000000,toy242,blue,3466.000000
249.000000,toy249,blue,4545.000000
250.000000,toy250,blue,3924.000000
251.000000,toy251,yellow,3169.000000
254.000000,toy254,orange,4406.000000
255.000000,toy255,red,4880.000000
256.000000,toy256,yellow,3780.000000
261.000000,toy261,orange,3992.000000
263.000000,toy263,green,3707.000000
264.000000,toy264,green,4826.000000
265.000000,toy265,blue,4303.000000
267.000000,toy267,white,4758.000000
274.000000,toy274,green,3570.000000
276.000000,toy276,orange,4830.000000
277.000000,toy277,yellow,4708.000000
278.000000,toy278,yellow,3444.000000
280.000000,toy280,black,4598.000000
281.000000,toy281,blue,3112.000000
283.000000,toy283,black,3318.000000
286.000000,toy286,red,4705.000000
289.000000,toy289,black,4016.000000
290.000000,toy290,blue,4288.000000
297.000000,toy297,red,3712.000000
299.000000,toy299,orange,3249.000000
300.000000,toy300,green,3660.000000
304.000000,toy304,blue,4215.000000
308.000000,toy308,black,4158.000000
313.000000,toy313,black,3102.000000
318.000000,toy318,green,4329.000000
320.000000,toy320,blue,4422.000000
322.000000,toy322,green,3506.000000
325.000000,toy325,black,4608.000000
327.000000,toy327,orange,4266.000000
335.000000,toy335,black,4660.000000
339.000000,toy339,black,4106.000000
340.000000,toy340,blue,3102.000000
344.000000,toy344,green,4932.000000
345.000000,toy345,black,4197.000000
349.000000,toy349,orange,3523.000000
350.000000,toy350,red,3955.000000
351.000000,toy351,orange,4458.000000
353.000000,toy353,green,3642.000000
354.000000,toy354,white,4306.000000
355.000000,toy355,orange,4168.000000
358.000000,toy358,orange,3494.000000
360.000000,toy360,white,4276.000000
362.000000,toy362,orange,4857.000000
365.000000,toy365,orange,3299.000000
368.000000,toy368,black,4319.000000
369.000000,toy369,red,4014.000000
372.000000,toy372,red,4687.000000
373.000000,toy373,blue,3040.000000
374.000000,toy374,black,3126.000000
379.000000,toy379,white,3454.000000
380.000000,toy380,green,4044.000000
381.000000,toy381,black,3345.000000
382.000000,toy382,orange,4986.000000
384.000000,toy384,blue,4715.000000
386.000000,toy386,red,4555.000000
387.000000,toy387,black,4972.000000
389.000000,toy389,orange,4226.000000
393.000000,toy393,orange,4019.000000
396.000000,toy396,white,4586.000000
398.000000,toy398,blue,4601.000000
402.000000,toy402,white,3937.000000
404.000000,toy404,black,3870.000000
407.000000,toy407,orange,4623.000000
409.000000,toy409,yellow,3634.000000
410.000000,toy410,blue,4459.000000
416.000000,toy416,yellow,4940.000000
419.000000,toy419,green,3092.000000
427.000000,toy427,green,3568.000000
430.000000,toy430,yellow,4630.000000
433.000000,toy433,white,4780.000000
434.000000,toy434,green,4654.000000
438.000000,toy438,green,3808.000000
442.000000,toy442,blue,3648.000000
445.000000,toy445,blue,4836.000000
448.000000,toy448,black,4255.000000
449.000000,toy449,red,3174.000000
450.000000,toy450,black,4103.000000
451.000000,toy451,orange,3207.000000
452.000000,toy452,green,4664.000000
455.000000,toy455,red,3058.000000
456.000000,toy456,orange,4650.000000
457.000000,toy457,black,3253.000000
459.000000,toy459,red,3482.000000
462.000000,toy462,orange,3891.000000
466.000000,toy466,yellow,4140.000000
467.000000,toy467,green,4330.000000
469.000000,toy469,red,4943.000000
470.000000,toy470,green,3094.000000
472.000000,toy472,green,4712.000000
473.000000,toy473,orange,4409.000000
476.000000,toy476,blue,3334.000000
477.000000,toy477,blue,4782.000000
480.000000,toy480,blue,4430.000000
481.000000,toy481,white,3505.000000
485.000000,toy485,red,4988.000000
487.000000,toy487,red,4685.000000
491.000000,toy491,black,4853.000000
494.000000,toy494,orange,4628.000000
495.000000,toy495,yellow,4305.000000
497.000000,toy497,blue,3083.000000
498.000000,toy498,white,4779.000000
500.000000,toy500,white,3013.000000
501.000000,toy501,white,3038.000000
502.000000,toy502,orange,3052.000000
503.000000,toy503,black,4430.000000
504.000000,toy504,orange,4006.000000
505.000000,toy505,red,3320.000000
513.000000,toy513,green,4096.000000
517.000000,toy517,red,4212.000000
523.000000,toy523,black,3414.000000
524.000000,toy524,black,4756.000000
525.000000,toy525,black,4948.000000
526.000000,toy526,red,4265.000000
528.000000,toy528,yellow,3769.000000
530.000000,toy530,black,3489.000000
531.000000,toy531,blue,3169.000000
532.000000,toy532,yellow,4377.000000
534.000000,toy534,black,4675.000000
535.000000,toy535,white,4055.000000
536.000000,toy536,red,4575.000000
540.000000,toy540,orange,3058.000000
544.000000,toy544,white,3015.000000
547.000000,toy547,blue,3481.000000
548.000000,toy548,white,3362.000000
549.000000,toy549,green,4578.000000
554.000000,toy554,black,4022.000000
559.000000,toy559,black,3810.000000
561.000000,toy561,red,4884.000000
562.000000,toy562,red,3527.000000
563.000000,toy563,green,4213.000000
564.000000,toy564,blue,4550.000000
566.000000,toy566,white,3463.000000
568.000000,toy568,blue,3174.000000
578.000000,toy578,red,3814.000000
580.000000,toy580,red,3287.000000
581.000000,toy581,orange,3702.000000
586.000000,toy586,yellow,4477.000000
587.000000,toy587,green,4550.000000
588.000000,toy588,black,4629.000000
589.000000,toy589,blue,3268.000000
590.000000,toy590,white,3300.000000
593.000000,toy593,black,3119.000000
595.000000,toy595,blue,4853.000000
597.000000,toy597,red,3459.000000
599.000000,toy599,orange,4976.000000
601.000000,toy601,green,3083.000000
603.000000,toy603,blue,4626.000000
605.000000,toy605,yellow,4157.000000
606.000000,toy606,black,4202.000000
608.000000,toy608,white,3769.000000
609.000000,toy609,yellow,3390.000000
616.000000,toy616,yellow,4871.000000
619.000000,toy619,white,3913.000000
620.000000,toy620,blue,4379.000000
621.000000,toy621,black,3116.000000
622.000000,toy622,red,4383.000000
624.000000,toy624,green,4525.000000
627.000000,toy627,blue,4726.000000
628.000000,toy628,black,4050.000000
634.000000,toy634,black,4174.000000
635.000000,toy635,orange,3202.000000
638.000000,toy638,black,3236.000000
640.000000,toy640,orange,3235.000000
643.000000,toy643,orange,4264.000000
644.000000,toy644,white,3099.000000
645.000000,toy645,green,4209.000000
647.000000,toy647,white,4997.000000
650.000000,toy650,white,3852.000000
652.000000,toy652,black,4600.000000
653.000000,toy653,red,3920.000000
654.000000,toy654,black,4006.000000
655.000000,toy655,white,4155.000000
657.000000,toy657,red,4858.000000
661.000000,toy661,white,4601.000000
662.000000,toy662,yellow,4716.000000
665.000000,toy665,green,3040.000000
669.000000,toy669,blue,4967.000000
671.000000,toy671,green,3351.000000
672.000000,toy672,yellow,3344.000000
676.000000,toy676,yellow,3109.000000
677.000000,toy677,red,4469.000000
678.000000,toy678,white,4542.000000
680.000000,toy680,yellow,3827.000000
682.000000,toy682,orange,3481.000000
684.000000,toy684,green,3901.000000
687.000000,toy687,yellow,3960.000000
689.000000,toy689,black,3403.000000
690.000000,toy690,yellow,3409.000000
691.000000,toy691,blue,3412.000000
693.000000,toy693,blue,3635.000000
696.000000,toy696,white,4458.000000
701.000000,toy701,blue,4895.000000
702.000000,toy702,green,4608.000000
707.000000,toy707,green,4382.000000
708.000000,toy708,orange,4590.000000
710.000000,toy710,white,4084.000000
711.000000,toy711,green,4307.000000
713.000000,toy713,green,4633.000000
714.000000,toy714,black,4199.000000
716.000000,toy716,orange,4702.000000
717.000000,toy717,green,4944.000000
718.000000,toy718,yellow,3819.000000
721.000000,toy721,red,3955.000000
725.000000,toy725,black,4396.000000
726.000000,toy726,red,4715.000000
728.000000,toy728,yellow,4110.000000
732.000000,toy732,green,4221.000000
734.000000,toy734,green,3035.000000
738.000000,toy738,black,4702.000000
740.000000,toy740,yellow,4238.000000
743.000000,toy743,blue,4249.000000
744.000000,toy744,red,3278.000000
745.000000,toy745,red,4934.000000
746.000000,toy746,yellow,4536.000000
747.000000,toy747,yellow,4834.000000
750.000000,toy750,yellow,4989.000000
751.000000,toy751,green,4046.000000
752.000000,toy752,black,3041.000000
755.000000,toy755,white,3715.000000
756.000000,toy756,orange,3839.000000
762.000000,toy762,yellow,4380.000000
765.000000,toy765,white,3607.000000
766.000000,toy766,black,4772.000000
767.000000,toy767,orange,4956.000000
768.000000,toy768,yellow,3811.000000
775.000000,toy775,blue,4508.000000
776.000000,toy776,orange,4080.000000
778.000000,toy778,blue,3417.000000
779.000000,toy779,white,3996.000000
780.000000,toy780,black,4034.000000
782.000000,toy782,orange,3736.000000
784.000000,toy784,green,4365.000000
785.000000,toy785,black,3002.000000
788.000000,toy788,black,4910.000000
794.000000,toy794,white,3290.000000
796.000000,toy796,white,4197.000000
804.000000,toy804,blue,3210.000000
809.000000,toy809,black,4468.000000
812.000000,toy812,orange,4937.000000
813.000000,toy813,green,4760.000000
815.000000,toy815,red,4632.000000
825.000000,toy825,green,3027.000000
826.000000,toy826,blue,3622.000000
830.000000,toy830,orange,3592.000000
831.000000,toy831,yellow,4747.000000
837.000000,toy837,blue,3582.000000
842.000000,toy842,red,3123.000000
844.000000,toy844,white,3646.000000
845.000000,toy845,orange,4644.000000
846.000000,toy846,green,4362.000000
848.000000,toy848,red,3576.000000
851.000000,toy851,black,4420.000000
856.000000,toy856,blue,3717.000000
862.000000,toy862,red,3941.000000
863.000000,toy863,blue,3053.000000
868.000000,toy868,yellow,3055.000000
870.000000,toy870,white,4320.000000
871.000000,toy871,yellow,3176.000000
878.000000,toy878,red,3790.000000
882.000000,toy882,black,3031.000000
883.000000,toy883,red,4999.000000
885.000000,toy885,black,4172.000000
887.000000,toy887,black,4417.000000
889.000000,toy889,yellow,4369.000000
890.000000,toy890,blue,4216.000000
895.000000,toy895,black,4371.000000
898.000000,toy898,blue,4201.000000
901.000000,toy901,blue,3626.000000
902.000000,toy902,white,4206.000000
906.000000,toy906,orange,3605.000000
907.000000,toy907,yellow,3269.000000
908.000000,toy908,orange,4472.000000
916.000000,toy916,white,3612.000000
918.000000,toy918,white,4830.000000
920.000000,toy920,red,3638.000000
922.000000,toy922,orange,4112.000000
924.000000,toy924,yellow,4076.000000
926.000000,toy926,white,3407.000000
927.000000,toy927,blue,3082.000000
931.000000,toy931,orange,3677.000000
933.000000,toy933,green,4374.000000
934.000000,toy934,green,3045.000000
935.000000,toy935,black,4938.000000
936.000000,toy936,yellow,3999.000000
938.000000,toy938,black,3376.000000
941.000000,toy941,red,3934.000000
944.000000,toy944,green,4704.000000
947.000000,toy947,black,3872.000000
948.000000,toy948,green,4201.000000
951.000000,toy951,green,3759.000000
952.000000,toy952,black,3715.000000
957.000000,toy957,yellow,3385.000000
958.000000,toy958,black,4394.000000
960.000000,toy960,blue,4144.000000
962.000000,toy962,red,4716.000000
964.000000,toy964,orange,4697.000000
971.000000,toy971,blue,3691.000000
972.000000,toy972,yellow,4559.000000
973.000000,toy973,yellow,4042.000000
978.000000,toy978,red,4387.000000
982.000000,toy982,blue,4015.000000
987.000000,toy987,yellow,3660.000000
990.000000,toy990,green,3847.000000
993.000000,toy993,black,4604.000000
996.000000,toy996,blue,4693.000000
998.000000,toy998,green,4954.000000
